,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3466,LK65EAP,Berberis Walk,2018-11-15 12:49:49+00:00,Harmondsworth Road,2018-11-15 12:50:40+00:00,325,no,Afternoon,bus,14.07,0.87,0.93,8.29,no,yes,-0.15
3401,LK65EAM,Berberis Walk,2018-11-15 16:11:02+00:00,Harmondsworth Road,2018-11-15 16:12:17+00:00,325,no,Afternoon,bus,13.65,0.9,0.68,8.47,no,yes,0.25
3680,SN09CGF,Harmondsworth Lane,2018-11-15 16:24:24+00:00,Harmondsworth Road,2018-11-15 16:26:28+00:00,1075,yes,Afternoon,bus,13.48,0.9,0.89,8.32,no,yes,1.0666666666666667
3925,YX10BFA,Harmondsworth Lane,2018-11-15 18:01:47+00:00,Harmondsworth Road,2018-11-15 18:04:20+00:00,1075,yes,Evening,bus,12.74,0.91,0.89,6.92,no,no,1.55
1973,LK09EKU,Berberis Walk,2018-11-15 19:19:13+00:00,Harmondsworth Road,2018-11-15 19:20:03+00:00,325,no,Evening,bus,11.98,0.93,0.92,5.25,no,yes,-0.16666666666666666
2065,LK16DDJ,Harmondsworth Lane,2018-11-15 21:29:30+00:00,Harmondsworth Road,2018-11-15 21:31:26+00:00,1075,no,Night,bus,11.6,0.95,1.0,3.65,no,yes,0.9333333333333333
1277,LK08FLF,Berberis Walk,2018-11-16 13:03:13+00:00,Harmondsworth Road,2018-11-16 13:03:59+00:00,325,no,Afternoon,bus,10.13,0.98,0.99,4.86,no,yes,-0.23333333333333334
2094,LK16DDL,Harmondsworth Lane,2018-11-16 13:24:00+00:00,Harmondsworth Road,2018-11-16 13:26:06+00:00,1075,no,Afternoon,bus,10.12,0.97,0.97,4.7,no,no,1.1
4165,YX10BFF,Harmondsworth Lane,2018-11-17 15:31:49+00:00,Harmondsworth Road,2018-11-17 15:33:59+00:00,1075,no,Afternoon,bus,10.33,0.71,0.89,10.01,yes,yes,1.1666666666666667
2003,LK16DDJ,Harmondsworth Lane,2018-11-17 17:20:37+00:00,Harmondsworth Road,2018-11-17 17:22:42+00:00,1075,no,Evening,bus,4.33,0.89,0.69,10.01,yes,yes,1.0833333333333333
891,LK08FLD,Harmondsworth Lane,2018-11-17 19:08:21+00:00,Harmondsworth Road,2018-11-17 19:10:08+00:00,1075,no,Evening,bus,11.84,0.94,0.86,8.29,yes,yes,0.7833333333333333
604,LK08FKV,Berberis Walk,2018-11-17 20:18:58+00:00,Harmondsworth Road,2018-11-17 20:20:02+00:00,325,no,Night,bus,8.19,0.81,0.44,10.01,yes,yes,0.06666666666666667
