,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
6026,440,Rayners Lane Underground Station,2018-12-05 11:13:48+00:00,Eastcote Underground Station,2018-12-05 11:16:19+00:00,1840,no,Morning,tube,12.21,0.94,0.8,9.3,no,yes,-2.4833333333333334
55,442,Rayners Lane Underground Station,2018-12-05 11:30:21+00:00,Eastcote Underground Station,2018-12-05 11:33:21+00:00,1120,no,Morning,tube,12.36,0.92,0.79,9.66,no,no,-2.0
6036,440,Ruislip Manor Underground Station,2018-12-05 11:48:23+00:00,Eastcote Underground Station,2018-12-05 11:49:24+00:00,1140,no,Morning,tube,12.48,0.91,0.79,9.87,no,yes,-3.9833333333333334
5704,436,Rayners Lane Underground Station,2018-12-05 15:27:02+00:00,Eastcote Underground Station,2018-12-05 15:29:32+00:00,1840,no,Evening,tube,11.91,0.94,0.82,8.88,no,no,-2.5
6066,441,Rayners Lane Underground Station,2018-12-05 15:49:07+00:00,Eastcote Underground Station,2018-12-05 15:52:07+00:00,1840,no,Afternoon,tube,11.91,0.93,0.79,9.48,no,no,-2.0
5714,436,Ruislip Manor Underground Station,2018-12-05 16:03:17+00:00,Eastcote Underground Station,2018-12-05 16:05:16+00:00,1140,no,Evening,tube,11.94,0.93,0.8,9.72,no,no,-3.0166666666666666
730,423,Rayners Lane Underground Station,2018-12-05 16:51:30+00:00,Eastcote Underground Station,2018-12-05 16:54:01+00:00,1840,yes,Afternoon,tube,11.93,0.94,0.87,8.21,no,no,-2.4833333333333334
5268,432,Rayners Lane Underground Station,2018-12-05 17:14:03+00:00,Eastcote Underground Station,2018-12-05 17:16:34+00:00,1840,yes,Evening,tube,11.91,0.94,0.85,8.16,no,yes,-2.4833333333333334
4985,427,Rayners Lane Underground Station,2018-12-05 18:01:37+00:00,Eastcote Underground Station,2018-12-05 18:04:37+00:00,1840,yes,Evening,tube,11.91,0.94,0.79,8.87,no,no,-2.0
5056,442,Rayners Lane Underground Station,2018-12-05 18:23:41+00:00,Eastcote Underground Station,2018-12-05 18:26:12+00:00,1840,yes,Evening,tube,11.96,0.95,0.82,9.25,no,no,-2.4833333333333334
4995,427,Ruislip Manor Underground Station,2018-12-05 18:32:42+00:00,Eastcote Underground Station,2018-12-05 18:34:12+00:00,1140,yes,Evening,tube,11.99,0.95,0.83,9.45,no,yes,-3.5
5144,473,Ruislip Manor Underground Station,2018-12-05 22:30:53+00:00,Eastcote Underground Station,2018-12-05 22:32:23+00:00,1140,no,Night,tube,11.98,0.94,0.83,10.01,no,no,-3.5
5095,451,Rayners Lane Underground Station,2018-12-06 12:17:35+00:00,Eastcote Underground Station,2018-12-06 12:20:06+00:00,1840,no,Afternoon,tube,12.68,0.88,0.84,10.01,no,yes,-2.4833333333333334
5034,437,Rayners Lane Underground Station,2018-12-06 13:17:43+00:00,Eastcote Underground Station,2018-12-06 13:20:44+00:00,1840,no,Afternoon,tube,12.71,0.87,0.75,10.01,no,no,-1.9833333333333334
5067,446,Rayners Lane Underground Station,2018-12-06 16:29:51+00:00,Eastcote Underground Station,2018-12-06 16:32:50+00:00,1840,yes,Afternoon,tube,12.73,0.87,0.91,10.01,no,no,-2.0166666666666666
5075,446,Ruislip Manor Underground Station,2018-12-06 17:01:27+00:00,Eastcote Underground Station,2018-12-06 17:03:29+00:00,1140,yes,Afternoon,tube,12.78,0.89,0.94,10.01,no,no,-2.966666666666667
