,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
2103,LK16DDL,Ferrers Avenue,2018-11-16 13:34:02+00:00,West Drayton Station,2018-11-16 13:35:07+00:00,405,no,Afternoon,bus,10.1,0.96,0.95,4.65,no,no,-0.9166666666666666
4143,YX10BFF,Yiewsley High Street,2018-11-17 14:51:12+00:00,West Drayton Station,2018-11-17 14:52:49+00:00,420,no,Afternoon,bus,11.01,0.68,0.89,10.01,yes,yes,-0.38333333333333336
2010,LK16DDJ,Ferrers Avenue,2018-11-17 17:30:51+00:00,West Drayton Station,2018-11-17 17:30:46+00:00,405,no,Evening,bus,4.57,0.89,0.69,10.01,yes,yes,-2.0833333333333335
900,LK08FLD,Ferrers Avenue,2018-11-17 19:16:05+00:00,West Drayton Station,2018-11-17 19:17:00+00:00,405,no,Evening,bus,11.99,0.94,0.85,8.42,yes,no,-1.0833333333333333
596,LK08FKV,Yiewsley High Street,2018-11-17 20:11:05+00:00,West Drayton Station,2018-11-17 20:12:42+00:00,420,no,Night,bus,8.92,0.81,0.46,10.01,yes,yes,-0.38333333333333336
624,LK08FKV,Ferrers Avenue,2018-11-17 20:55:03+00:00,West Drayton Station,2018-11-17 20:56:16+00:00,405,no,Evening,bus,6.95,0.8,0.44,10.01,yes,yes,-0.7833333333333333
2963,LK16DEU,Yiewsley High Street,2018-11-17 21:32:39+00:00,West Drayton Station,2018-11-17 21:33:40+00:00,420,no,Night,bus,7.27,0.71,0.42,10.01,yes,yes,-0.9833333333333333
4437,YX10BFM,Yiewsley High Street,2018-11-18 15:08:51+00:00,West Drayton Station,2018-11-18 15:10:31+00:00,420,no,Afternoon,bus,12.18,0.89,0.75,10.01,yes,no,-0.3333333333333333
3028,LK16DFA,Yiewsley High Street,2018-11-18 16:26:10+00:00,West Drayton Station,2018-11-18 16:27:55+00:00,420,no,Afternoon,bus,12.56,0.81,0.45,10.01,yes,yes,-0.25
787,LK08FKW,Yiewsley High Street,2018-11-18 18:49:09+00:00,West Drayton Station,2018-11-18 18:50:45+00:00,420,no,Evening,bus,8.42,0.97,0.91,5.99,yes,no,-0.4
4468,YX10BFM,Yiewsley High Street,2018-11-18 19:04:34+00:00,West Drayton Station,2018-11-18 19:06:12+00:00,420,no,Evening,bus,10.57,0.89,0.72,10.01,yes,no,-0.36666666666666664
4567,YX10BFM,Yiewsley High Street,2018-11-18 20:51:33+00:00,West Drayton Station,2018-11-18 20:53:01+00:00,420,no,Night,bus,7.75,0.92,0.89,10.01,yes,yes,-0.5333333333333333
4535,YX10BFM,Ferrers Avenue,2018-11-18 21:38:07+00:00,West Drayton Station,2018-11-18 21:39:18+00:00,405,no,Night,bus,7.52,0.91,0.8,10.01,yes,yes,-0.8166666666666667
4675,YX10BFN,Ferrers Avenue,2018-11-19 11:31:14+00:00,West Drayton Station,2018-11-19 11:32:04+00:00,405,no,Morning,bus,7.64,0.77,0.73,10.01,no,yes,-1.1666666666666667
5164,LK16DEU,Ferrers Avenue,2018-11-19 14:01:11+00:00,West Drayton Station,2018-11-19 14:01:40+00:00,405,no,Afternoon,bus,8.08,0.72,0.48,10.01,no,yes,-1.5166666666666666
2205,LK16DDN,Yiewsley High Street,2018-11-19 15:49:32+00:00,West Drayton Station,2018-11-19 15:51:21+00:00,420,no,Afternoon,bus,7.14,0.75,0.34,10.01,no,no,-0.18333333333333332
4278,YX10BFK,Yiewsley High Street,2018-11-19 16:49:07+00:00,West Drayton Station,2018-11-19 16:51:46+00:00,420,yes,Afternoon,bus,6.76,0.77,0.89,10.01,no,yes,0.65
996,LK08FLD,Ferrers Avenue,2018-11-19 17:38:02+00:00,West Drayton Station,2018-11-19 17:39:13+00:00,405,yes,Evening,bus,6.19,0.8,0.57,9.85,no,no,-0.8166666666666667
